location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
KY,2020-02-20,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,27.122222,23.688889,30.4,0.0,22.533333,76.050671
KY,2020-02-21,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,27.122222,23.1,30.822222,0.3556,22.377778,75.396681
KY,2020-02-22,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,25.3,21.977778,29.488889,0.0,20.011111,72.56799
KY,2020-02-23,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,25.177778,22.122222,28.677778,0.9144,19.711111,71.824001
KY,2020-02-24,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,25.766667,22.444444,30.122222,0.0,20.277778,71.754892
KY,2020-02-25,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,26.555556,22.588889,30.622222,0.889,21.944444,75.946519
KY,2020-02-26,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,26.233333,22.588889,29.611111,9.271,22.822222,81.652905
KY,2020-02-27,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,26.055556,22.833333,29.977778,0.4064,22.022222,78.5386
KY,2020-02-28,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,24.433333,22.455556,28.077778,1.8796,19.577778,74.505351
KY,2020-02-29,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,22.988889,20.777778,26.3,0.508,16.011111,65.201849
